student_id,gender,age,degree,branch,cgpa,backlogs,internships,certifications,coding_skills,communication_skills,project_count,internship_status,certification_status,placement_year,placement_status,package_lpa,company_name,has_internship,has_certification,total_skill_score,academic_performance_index,employability_score,placement_risk_score,risk_band,student_intervention,intervention_priority,eligible_for_shortlist
33,Female,23,BCA,Artificial Intelligence,9.26,1,0,0,7,6,2,No,No,2021,Placed,10.06,Cognizant,0,0,13,87.6,9.8,2.4,Low,Clear backlogs early; Complete an internship; Add one industry certification,Track,0
34,Female,20,BSc,Information Technology,8.97,0,2,3,4,5,0,Yes,Yes,2022,Placed,11.05,Capgemini,1,1,9,89.7,13.59,0.0,Low,Improve DSA and coding practice; Strengthen communication skills; Build more portfolio projects,Track,1
35,Female,21,BCA,Mechanical Engineering,8.88,2,1,3,4,8,1,Yes,Yes,2023,Placed,11.11,Infosys,1,1,12,78.80000000000001,10.95,12.7,Low,Clear backlogs early; Improve DSA and coding practice; Build more portfolio projects,Track,0
36,Male,21,BCA,Data Science,5.57,1,2,2,4,5,2,Yes,Yes,2024,Placed,7.37,Wipro,1,1,9,50.7,12.33,19.6,Low,Clear backlogs early; Raise CGPA above 7.0; Improve DSA and coding practice,Track,0
37,Female,24,BE,Computer Science,5.7,0,0,4,6,7,2,No,Yes,2019,Placed,8.2,Cognizant,0,1,13,57.0,13.08,4.8,Low,Raise CGPA above 7.0; Complete an internship,Track,0
38,Male,23,BSc,Data Science,7.86,0,3,2,9,4,3,Yes,Yes,2020,Placed,13.8,Google,1,1,13,78.60000000000001,19.54,0.0,Low,Strengthen communication skills,Track,1
39,Male,22,BE,Data Science,9.78,3,0,1,9,5,5,No,Yes,2021,Placed,13.24,Meta,0,1,14,82.8,11.81,4.3,Low,Clear backlogs early; Complete an internship; Strengthen communication skills,Track,0
40,Male,21,BSc,Mechanical Engineering,6.97,1,1,2,5,7,4,Yes,Yes,2022,Placed,9.34,Infosys,1,1,12,64.7,14.49,1.2,Low,Clear backlogs early; Raise CGPA above 7.0; Improve DSA and coding practice,Track,0
41,Male,23,BCA,Data Science,6.98,3,1,5,8,8,4,Yes,Yes,2023,Placed,12.56,Microsoft,1,1,16,54.80000000000001,15.49,4.1,Low,Clear backlogs early; Raise CGPA above 7.0,Track,0
42,Male,20,BTech,Data Science,6.08,0,0,4,4,7,3,No,Yes,2024,Placed,7.93,Accenture,0,1,11,60.8,13.63,6.5,Low,Raise CGPA above 7.0; Complete an internship; Improve DSA and coding practice,Track,0
43,Female,24,BTech,Mechanical Engineering,8.4,2,3,1,8,6,5,Yes,Yes,2019,Placed,14.03,Meta,1,1,14,74.0,18.76,0.0,Low,Clear backlogs early,Track,0
44,Female,20,BSc,Mechanical Engineering,8.28,2,1,5,10,6,5,Yes,Yes,2020,Placed,14.05,Amazon,1,1,16,72.8,18.71,0.0,Low,Clear backlogs early,Track,0
45,Female,21,BSc,Artificial Intelligence,5.94,1,0,4,9,4,5,No,Yes,2021,Placed,10.58,Accenture,0,1,13,54.400000000000006,15.28,0.4,Low,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Track,0
46,Female,21,BE,Data Science,7.51,2,3,1,8,5,4,Yes,Yes,2022,Placed,12.9,Amazon,1,1,13,65.1,16.8,0.0,Low,Clear backlogs early; Strengthen communication skills,Track,0
47,Female,20,BCA,Information Technology,8.37,1,2,2,8,6,5,Yes,Yes,2023,Placed,13.47,Microsoft,1,1,14,78.69999999999999,19.05,0.0,Low,Clear backlogs early,Track,0
48,Male,21,BTech,Computer Science,7.62,1,1,4,9,8,5,Yes,Yes,2024,Placed,13.46,Adobe,1,1,17,71.2,19.55,0.0,Low,Clear backlogs early,Track,0
49,Female,23,BE,Electrical Engineering,8.4,0,2,5,10,7,3,Yes,Yes,2019,Placed,15.12,Meta,1,1,17,84.0,21.76,0.0,Low,Profile is competitive; keep building projects and interview readiness,Track,1
50,Female,21,BSc,Computer Science,9.01,0,1,5,8,4,5,Yes,Yes,2020,Placed,14.6,Meta,1,1,12,90.1,20.4,0.0,Low,Strengthen communication skills,Track,1
51,Male,24,BCA,Mechanical Engineering,8.45,0,2,4,4,7,2,Yes,Yes,2021,Placed,10.71,Accenture,1,1,11,84.5,17.38,0.0,Low,Improve DSA and coding practice,Track,1
52,Female,23,BE,Electrical Engineering,8.15,3,0,5,5,6,2,No,Yes,2022,Placed,10.73,Cognizant,0,1,11,66.5,9.56,31.1,Low,Clear backlogs early; Complete an internship; Improve DSA and coding practice,Track,0
53,Male,22,BE,Mechanical Engineering,9.17,0,3,5,10,5,5,Yes,Yes,2023,Placed,16.93,Google,1,1,15,91.7,25.67,0.0,Low,Strengthen communication skills,Track,1
54,Female,21,BSc,Artificial Intelligence,9.37,1,0,0,6,7,4,No,No,2024,Placed,12.02,Amazon,0,0,13,88.69999999999999,12.25,0.0,Low,Clear backlogs early; Complete an internship; Add one industry certification,Track,0
55,Male,21,BCA,Data Science,7.17,0,0,0,5,8,5,No,No,2019,Placed,8.88,Capgemini,0,0,13,71.7,14.07,0.0,Low,Complete an internship; Improve DSA and coding practice; Add one industry certification,Track,1
56,Female,24,BTech,Mechanical Engineering,6.24,3,0,3,9,8,4,No,Yes,2020,Placed,10.6,Cognizant,0,1,17,47.400000000000006,12.0,16.6,Low,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Track,0
57,Female,24,BE,Mechanical Engineering,9.02,0,1,0,2,5,1,Yes,No,2021,Placed,8.11,Cognizant,1,0,7,90.19999999999999,9.61,10.9,Low,Improve DSA and coding practice; Strengthen communication skills; Build more portfolio projects,Track,1
58,Male,20,BSc,Computer Science,6.42,2,2,4,6,6,4,Yes,Yes,2022,Placed,11.24,Capgemini,1,1,12,54.2,16.37,3.5,Low,Clear backlogs early; Raise CGPA above 7.0,Track,0
59,Male,20,BE,Data Science,9.49,1,1,3,10,7,5,Yes,Yes,2023,Placed,15.38,Microsoft,1,1,17,89.9,19.5,0.0,Low,Clear backlogs early,Track,0
60,Male,20,BSc,Artificial Intelligence,5.6,2,1,2,2,8,0,Yes,Yes,2024,Not Placed,0.0,Unplaced,1,1,10,46.0,6.84,46.4,Medium,Clear backlogs early; Raise CGPA above 7.0; Improve DSA and coding practice,Monitor,0
61,Male,24,BSc,Mechanical Engineering,9.46,2,3,3,8,6,4,Yes,Yes,2019,Placed,15.21,Adobe,1,1,14,84.60000000000001,19.58,0.0,Low,Clear backlogs early,Track,0
62,Male,20,BSc,Mechanical Engineering,8.03,3,0,5,8,6,3,No,Yes,2020,Placed,12.41,Meta,0,1,14,65.3,11.91,15.8,Low,Clear backlogs early; Complete an internship,Track,0
63,Male,20,BCA,Mechanical Engineering,8.83,2,1,1,5,5,0,Yes,Yes,2021,Placed,9.54,Infosys,1,1,10,78.3,7.33,26.0,Low,Clear backlogs early; Improve DSA and coding practice; Strengthen communication skills,Track,0
64,Male,22,BTech,Computer Science,7.21,0,2,3,10,5,5,Yes,Yes,2022,Placed,15.36,Google,1,1,15,72.1,21.28,0.0,Low,Strengthen communication skills,Track,1
65,Male,20,BCA,Mechanical Engineering,9.76,1,1,0,8,8,5,Yes,No,2023,Placed,15.25,Microsoft,1,0,16,92.6,16.8,0.0,Low,Clear backlogs early; Add one industry certification,Track,0
66,Female,21,BTech,Mechanical Engineering,6.48,2,3,2,5,9,0,Yes,Yes,2024,Placed,8.46,Cognizant,1,1,14,54.80000000000001,12.79,10.1,Low,Clear backlogs early; Raise CGPA above 7.0; Improve DSA and coding practice,Track,0
67,Female,24,BSc,Computer Science,6.64,2,3,1,4,6,2,Yes,Yes,2019,Placed,8.96,Capgemini,1,1,10,56.39999999999999,12.86,16.2,Low,Clear backlogs early; Raise CGPA above 7.0; Improve DSA and coding practice,Track,0
68,Male,23,BTech,Mechanical Engineering,5.72,1,2,3,9,8,0,Yes,Yes,2020,Placed,8.83,Capgemini,1,1,17,52.199999999999996,13.99,0.0,Low,Clear backlogs early; Raise CGPA above 7.0; Build more portfolio projects,Track,0
69,Female,22,BCA,Data Science,9.54,0,3,2,8,7,5,Yes,Yes,2021,Placed,16.45,Google,1,1,15,95.39999999999999,23.42,0.0,Low,Profile is competitive; keep building projects and interview readiness,Track,1
70,Female,24,BE,Data Science,7.46,2,0,0,4,6,3,No,No,2022,Placed,7.85,Cognizant,0,0,10,64.6,7.58,33.2,Low,Clear backlogs early; Complete an internship; Improve DSA and coding practice,Track,0
71,Female,24,BCA,Computer Science,8.4,1,0,2,2,7,2,No,Yes,2023,Placed,8.31,Infosys,0,1,9,79.0,9.46,20.6,Low,Clear backlogs early; Complete an internship; Improve DSA and coding practice,Track,0
72,Female,21,BCA,Data Science,8.46,0,3,2,2,9,0,Yes,Yes,2024,Placed,8.59,Accenture,1,1,11,84.60000000000001,15.38,0.0,Low,Improve DSA and coding practice; Build more portfolio projects,Track,1
73,Male,20,BCA,Electrical Engineering,9.26,0,1,1,2,6,1,Yes,Yes,2019,Placed,8.91,Accenture,1,1,8,92.6,10.9,4.4,Low,Improve DSA and coding practice; Build more portfolio projects,Track,1
74,Female,21,BCA,Electrical Engineering,8.36,0,3,4,10,9,5,Yes,Yes,2020,Placed,14.86,Microsoft,1,1,19,83.6,26.14,0.0,Low,Profile is competitive; keep building projects and interview readiness,Track,1
75,Male,20,BCA,Electrical Engineering,7.92,3,2,0,8,3,5,Yes,No,2021,Placed,13.44,Google,1,0,11,64.2,13.07,11.5,Low,Clear backlogs early; Strengthen communication skills; Add one industry certification,Track,0
76,Female,20,BTech,Artificial Intelligence,8.55,0,0,1,6,8,3,No,Yes,2022,Placed,11.4,Infosys,0,1,14,85.5,13.42,0.0,Low,Complete an internship,Track,1
77,Female,24,BTech,Mechanical Engineering,8.73,0,0,1,1,7,0,No,Yes,2023,Placed,7.13,Wipro,0,1,8,87.30000000000001,7.49,20.6,Low,Complete an internship; Improve DSA and coding practice; Build more portfolio projects,Track,1
78,Female,20,BE,Artificial Intelligence,6.3,1,1,1,10,6,5,Yes,Yes,2024,Placed,11.2,Cognizant,1,1,16,58.0,16.22,0.0,Low,Clear backlogs early; Raise CGPA above 7.0,Track,0
79,Male,22,BCA,Data Science,5.97,3,2,4,4,7,1,Yes,Yes,2019,Placed,8.71,Accenture,1,1,11,44.699999999999996,10.69,35.2,Medium,Clear backlogs early; Raise CGPA above 7.0; Improve DSA and coding practice,Monitor,0
80,Female,22,BCA,Computer Science,5.82,0,0,4,3,4,1,No,Yes,2020,Placed,6.51,Wipro,0,1,7,58.2,9.53,29.1,Low,Raise CGPA above 7.0; Complete an internship; Improve DSA and coding practice,Track,0
81,Male,22,BE,Electrical Engineering,7.11,2,0,3,10,6,5,No,Yes,2021,Placed,13.23,Meta,0,1,16,61.10000000000001,14.64,0.0,Low,Clear backlogs early; Complete an internship,Track,0
82,Female,24,BE,Computer Science,7.64,3,2,3,7,7,3,Yes,Yes,2022,Placed,12.43,Meta,1,1,14,61.39999999999999,14.16,7.2,Low,Clear backlogs early,Track,0
83,Male,21,BSc,Artificial Intelligence,8.15,1,1,0,10,9,5,Yes,No,2023,Placed,12.49,Google,1,0,19,76.5,17.36,0.0,Low,Clear backlogs early; Add one industry certification,Track,0
84,Female,23,BE,Data Science,9.62,3,3,5,5,6,1,Yes,Yes,2024,Placed,13.81,Google,1,1,11,81.19999999999999,14.95,2.3,Low,Clear backlogs early; Improve DSA and coding practice; Build more portfolio projects,Track,0
85,Male,20,BE,Mechanical Engineering,6.92,2,1,0,1,5,0,Yes,No,2019,Not Placed,0.0,Unplaced,1,0,6,59.2,4.17,55.5,Medium,Clear backlogs early; Raise CGPA above 7.0; Improve DSA and coding practice,Monitor,0
86,Male,23,BE,Data Science,8.77,3,0,4,6,6,1,No,Yes,2020,Placed,10.34,Capgemini,0,1,12,72.69999999999999,8.21,29.4,Low,Clear backlogs early; Complete an internship; Build more portfolio projects,Track,0
87,Female,21,BSc,Electrical Engineering,7.78,2,0,4,4,8,4,No,Yes,2021,Placed,10.89,Accenture,0,1,12,67.8,12.91,13.3,Low,Clear backlogs early; Complete an internship; Improve DSA and coding practice,Track,0
88,Male,21,BTech,Data Science,6.45,0,1,4,10,7,4,Yes,Yes,2022,Placed,11.37,Infosys,1,1,17,64.5,19.38,0.0,Low,Raise CGPA above 7.0,Track,0
89,Female,24,BSc,Computer Science,8.15,0,1,1,6,6,4,Yes,Yes,2023,Placed,11.45,Infosys,1,1,12,81.5,15.66,0.0,Low,Profile is competitive; keep building projects and interview readiness,Track,1
90,Female,22,BTech,Information Technology,9.66,3,0,4,7,7,5,No,Yes,2024,Placed,13.47,Google,0,1,14,81.6,14.16,1.0,Low,Clear backlogs early; Complete an internship,Track,0
91,Female,22,BE,Electrical Engineering,6.03,3,2,1,9,7,5,Yes,Yes,2019,Placed,11.83,Accenture,1,1,16,45.300000000000004,15.11,4.8,Low,Clear backlogs early; Raise CGPA above 7.0,Track,0
92,Female,21,BSc,Mechanical Engineering,7.68,1,2,1,1,8,2,Yes,Yes,2020,Placed,7.75,Infosys,1,1,9,71.8,12.37,11.9,Low,Clear backlogs early; Improve DSA and coding practice,Track,0
93,Female,24,BSc,Electrical Engineering,5.72,1,3,0,6,5,5,Yes,No,2021,Placed,10.85,Accenture,1,0,11,52.199999999999996,17.19,0.0,Low,Clear backlogs early; Raise CGPA above 7.0; Strengthen communication skills,Track,0
94,Female,24,BTech,Electrical Engineering,6.88,2,0,2,8,6,5,No,Yes,2022,Placed,10.43,Infosys,0,1,14,58.8,12.95,8.7,Low,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Track,0
95,Female,20,BSc,Mechanical Engineering,8.17,0,0,3,4,6,3,No,Yes,2023,Placed,8.71,Accenture,0,1,10,81.7,13.27,0.0,Low,Complete an internship; Improve DSA and coding practice,Track,1
96,Female,22,BSc,Electrical Engineering,9.12,3,3,3,10,4,5,Yes,Yes,2024,Placed,15.86,Meta,1,1,14,76.19999999999999,19.15,0.0,Low,Clear backlogs early; Strengthen communication skills,Track,0
97,Female,21,BCA,Computer Science,8.64,0,0,0,9,7,5,No,No,2019,Placed,11.98,Infosys,0,0,16,86.4,15.86,0.0,Low,Complete an internship; Add one industry certification,Track,1
98,Female,23,BTech,Data Science,7.49,3,0,0,4,7,1,No,No,2020,Not Placed,0.0,Unplaced,0,0,11,59.900000000000006,4.1,50.1,Medium,Clear backlogs early; Complete an internship; Improve DSA and coding practice,Monitor,0
99,Female,22,BSc,Computer Science,9.41,2,1,4,4,7,2,Yes,Yes,2021,Placed,11.08,Accenture,1,1,11,84.1,12.76,6.5,Low,Clear backlogs early; Improve DSA and coding practice,Track,0
100,Male,20,BSc,Data Science,6.8,0,2,4,9,6,5,Yes,Yes,2022,Placed,13.8,Adobe,1,1,15,68.0,21.92,0.0,Low,Raise CGPA above 7.0,Track,1
101,Male,24,BE,Information Technology,8.74,1,2,4,4,4,1,Yes,Yes,2023,Placed,10.31,Accenture,1,1,8,82.4,13.6,3.6,Low,Clear backlogs early; Improve DSA and coding practice; Strengthen communication skills,Track,0
102,Female,21,BCA,Electrical Engineering,7.54,2,2,1,9,6,5,Yes,Yes,2024,Placed,13.61,Amazon,1,1,15,65.4,16.82,0.0,Low,Clear backlogs early,Track,0
103,Female,22,BCA,Information Technology,9.36,0,3,1,1,6,1,Yes,Yes,2019,Placed,10.22,Cognizant,1,1,7,93.6,14.54,0.0,Low,Improve DSA and coding practice; Build more portfolio projects,Track,1
104,Female,23,BE,Artificial Intelligence,8.93,2,1,4,8,5,5,Yes,Yes,2020,Placed,14.74,Amazon,1,1,13,79.3,16.97,0.0,Low,Clear backlogs early; Strengthen communication skills,Track,0
105,Female,20,BE,Data Science,9.38,3,0,1,2,6,2,No,Yes,2021,Placed,8.52,Cognizant,0,1,8,78.80000000000001,5.65,43.7,Medium,Clear backlogs early; Complete an internship; Improve DSA and coding practice,Monitor,0
106,Female,20,BE,Computer Science,6.42,0,2,0,8,7,1,Yes,No,2022,Placed,10.31,Capgemini,1,0,15,64.2,13.77,0.0,Low,Raise CGPA above 7.0; Build more portfolio projects; Add one industry certification,Track,0
107,Female,22,BE,Computer Science,8.37,0,2,4,5,9,0,Yes,Yes,2023,Placed,10.3,Infosys,1,1,14,83.69999999999999,16.15,0.0,Low,Improve DSA and coding practice; Build more portfolio projects,Track,1
108,Female,23,BCA,Electrical Engineering,8.68,0,1,3,1,7,1,Yes,Yes,2024,Placed,9.0,Cognizant,1,1,8,86.8,12.27,4.9,Low,Improve DSA and coding practice; Build more portfolio projects,Track,1
109,Female,20,BSc,Computer Science,8.69,1,0,3,1,7,2,No,Yes,2019,Placed,9.28,Accenture,0,1,8,81.89999999999999,9.98,20.9,Low,Clear backlogs early; Complete an internship; Improve DSA and coding practice,Track,0
110,Male,21,BSc,Artificial Intelligence,7.67,2,3,5,6,6,2,Yes,Yes,2020,Placed,13.03,Microsoft,1,1,12,66.7,17.27,0.0,Low,Clear backlogs early,Track,0
111,Female,20,BE,Mechanical Engineering,5.55,1,0,1,1,4,1,No,Yes,2021,Not Placed,0.0,Unplaced,0,1,5,50.5,4.72,56.7,Medium,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Monitor,0
112,Male,23,BTech,Computer Science,6.62,1,3,3,2,6,0,Yes,Yes,2022,Placed,7.89,Cognizant,1,1,8,61.2,12.75,16.3,Low,Clear backlogs early; Raise CGPA above 7.0; Improve DSA and coding practice,Track,0
113,Female,24,BE,Electrical Engineering,6.89,2,3,4,3,7,1,Yes,Yes,2023,Placed,8.79,Cognizant,1,1,10,58.89999999999999,14.16,13.7,Low,Clear backlogs early; Raise CGPA above 7.0; Improve DSA and coding practice,Track,0
114,Female,24,BSc,Information Technology,9.16,2,0,3,2,10,3,No,Yes,2024,Placed,9.07,Cognizant,0,1,12,81.6,11.46,13.0,Low,Clear backlogs early; Complete an internship; Improve DSA and coding practice,Track,0
115,Male,22,BTech,Computer Science,9.12,0,3,0,9,6,3,Yes,No,2019,Placed,13.36,Amazon,1,0,15,91.19999999999999,19.25,0.0,Low,Add one industry certification,Track,1
116,Female,23,BE,Computer Science,5.95,0,2,1,10,7,3,Yes,Yes,2020,Placed,10.74,Cognizant,1,1,17,59.5,17.58,0.0,Low,Raise CGPA above 7.0,Track,0
117,Male,20,BTech,Computer Science,9.58,2,1,3,6,6,2,Yes,Yes,2021,Placed,12.0,Meta,1,1,12,85.8,12.43,2.5,Low,Clear backlogs early,Track,0
118,Female,20,BE,Electrical Engineering,6.28,0,2,1,9,5,3,Yes,Yes,2022,Placed,11.39,Cognizant,1,1,14,62.800000000000004,16.51,0.0,Low,Raise CGPA above 7.0; Strengthen communication skills,Track,0
119,Female,24,BCA,Mechanical Engineering,7.28,3,3,0,5,8,1,Yes,No,2023,Placed,9.97,Infosys,1,0,13,57.8,10.81,20.3,Low,Clear backlogs early; Improve DSA and coding practice; Build more portfolio projects,Track,0
120,Male,24,BSc,Computer Science,6.43,0,3,3,4,8,3,Yes,Yes,2024,Placed,10.76,Cognizant,1,1,12,64.3,19.37,0.0,Low,Raise CGPA above 7.0; Improve DSA and coding practice,Track,0
121,Female,21,BE,Mechanical Engineering,9.2,2,1,5,2,8,0,Yes,Yes,2019,Placed,10.02,Cognizant,1,1,10,82.0,10.68,18.8,Low,Clear backlogs early; Improve DSA and coding practice; Build more portfolio projects,Track,0
122,Male,24,BTech,Mechanical Engineering,8.72,1,1,4,4,5,1,Yes,Yes,2020,Not Placed,0.0,Unplaced,1,1,9,82.2,11.99,8.7,Low,Clear backlogs early; Improve DSA and coding practice; Strengthen communication skills,Track,0
123,Female,21,BSc,Artificial Intelligence,7.02,2,2,2,8,9,3,Yes,Yes,2021,Placed,11.44,Capgemini,1,1,17,60.19999999999999,15.81,0.0,Low,Clear backlogs early,Track,0
124,Male,20,BE,Information Technology,8.43,2,1,3,2,4,1,Yes,Yes,2022,Placed,9.08,Cognizant,1,1,6,74.3,8.37,35.4,Medium,Clear backlogs early; Improve DSA and coding practice; Strengthen communication skills,Monitor,0
125,Male,21,BE,Computer Science,6.29,1,1,0,8,7,5,Yes,No,2023,Placed,10.4,Capgemini,1,0,15,57.9,15.02,0.0,Low,Clear backlogs early; Raise CGPA above 7.0; Add one industry certification,Track,0
126,Female,21,BE,Computer Science,7.14,3,3,5,2,10,1,Yes,Yes,2024,Placed,9.71,Capgemini,1,1,12,56.39999999999999,14.36,17.2,Low,Clear backlogs early; Improve DSA and coding practice; Build more portfolio projects,Track,0
