student_id,gender,age,degree,branch,cgpa,backlogs,internships,certifications,coding_skills,communication_skills,project_count,internship_status,certification_status,placement_year,placement_status,package_lpa,company_name,has_internship,has_certification,total_skill_score,academic_performance_index,employability_score,placement_risk_score,risk_band,student_intervention,intervention_priority,eligible_for_shortlist
9574,Male,24,BCA,Information Technology,6.65,3,1,0,1,2,0,Yes,No,2022,Not Placed,0.0,Unplaced,1,0,3,51.5,1.36,78.1,High,Clear backlogs early; Raise CGPA above 7.0; Improve DSA and coding practice,Immediate,0
10536,Male,20,BE,Mechanical Engineering,6.09,3,1,2,1,5,0,Yes,Yes,2024,Not Placed,0.0,Unplaced,1,1,6,45.9,3.94,68.5,High,Clear backlogs early; Raise CGPA above 7.0; Improve DSA and coding practice,Immediate,0
4369,Female,23,BSc,Mechanical Engineering,6.41,3,0,3,2,5,0,No,Yes,2019,Not Placed,0.0,Unplaced,0,1,7,49.099999999999994,3.26,68.5,High,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Immediate,0
5405,Male,24,BCA,Mechanical Engineering,7.75,3,0,1,1,5,0,No,Yes,2023,Not Placed,0.0,Unplaced,0,1,6,62.5,1.8,68.5,High,Clear backlogs early; Complete an internship; Improve DSA and coding practice,Immediate,0
757,Female,21,BCA,Information Technology,5.83,3,0,0,2,7,1,No,No,2019,Not Placed,0.0,Unplaced,0,0,9,43.3,2.63,68.0,High,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Immediate,0
8668,Male,20,BE,Mechanical Engineering,6.23,3,1,0,1,5,1,Yes,No,2022,Not Placed,0.0,Unplaced,1,0,6,47.300000000000004,3.59,67.6,High,Clear backlogs early; Raise CGPA above 7.0; Improve DSA and coding practice,Immediate,0
8490,Female,21,BSc,Mechanical Engineering,5.61,3,0,2,3,5,1,No,Yes,2024,Not Placed,0.0,Unplaced,0,1,8,41.1,3.74,67.3,High,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Immediate,0
4702,Male,23,BSc,Computer Science,7.46,3,0,0,1,4,2,No,No,2022,Not Placed,0.0,Unplaced,0,0,5,59.599999999999994,2.88,67.2,High,Clear backlogs early; Complete an internship; Improve DSA and coding practice,Immediate,0
514,Female,21,BTech,Information Technology,5.67,3,1,4,1,5,0,Yes,Yes,2022,Not Placed,0.0,Unplaced,1,1,6,41.7,5.37,67.0,High,Clear backlogs early; Raise CGPA above 7.0; Improve DSA and coding practice,Immediate,0
6259,Female,24,BE,Mechanical Engineering,5.68,3,0,4,2,5,1,No,Yes,2019,Not Placed,0.0,Unplaced,0,1,7,41.8,4.97,66.9,High,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Immediate,0
748,Male,21,BCA,Artificial Intelligence,6.73,3,0,1,2,5,1,No,Yes,2022,Not Placed,0.0,Unplaced,0,1,7,52.30000000000001,2.99,66.6,High,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Immediate,0
1749,Male,23,BE,Artificial Intelligence,6.08,3,0,0,2,7,1,No,No,2021,Not Placed,0.0,Unplaced,0,0,9,45.8,2.73,66.5,High,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Immediate,0
181,Male,21,BCA,Artificial Intelligence,7.41,3,0,0,1,7,0,No,No,2019,Placed,6.66,Tech Mahindra,0,0,8,59.099999999999994,1.66,66.5,High,Clear backlogs early; Complete an internship; Improve DSA and coding practice,Immediate,0
5244,Male,22,BCA,Electrical Engineering,6.79,3,0,0,1,7,1,No,No,2024,Not Placed,0.0,Unplaced,0,0,8,52.900000000000006,2.62,66.3,High,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Immediate,0
11343,Female,20,BE,Electrical Engineering,8.04,3,0,0,1,6,0,No,No,2021,Not Placed,0.0,Unplaced,0,0,7,65.39999999999999,1.52,65.8,High,Clear backlogs early; Complete an internship; Improve DSA and coding practice,Immediate,0
7164,Female,21,BCA,Electrical Engineering,7.72,3,0,4,1,4,0,No,Yes,2024,Not Placed,0.0,Unplaced,0,1,5,62.2,3.79,65.7,High,Clear backlogs early; Complete an internship; Improve DSA and coding practice,Immediate,0
3192,Female,24,BSc,Computer Science,6.42,3,0,2,1,8,0,No,Yes,2024,Not Placed,0.0,Unplaced,0,1,9,49.2,3.27,65.5,High,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Immediate,0
9566,Male,20,BE,Computer Science,5.61,3,0,4,2,7,0,No,Yes,2020,Not Placed,0.0,Unplaced,0,1,9,41.1,4.54,65.3,High,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Immediate,0
1541,Male,21,BSc,Information Technology,6.11,3,0,0,3,6,1,No,No,2023,Not Placed,0.0,Unplaced,0,0,9,46.1,2.74,65.3,High,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Immediate,0
8154,Female,22,BE,Mechanical Engineering,5.82,2,0,0,1,4,2,No,No,2024,Not Placed,0.0,Unplaced,0,0,5,48.2,3.73,65.1,High,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Immediate,0
6668,Male,23,BE,Computer Science,6.15,3,0,2,1,6,2,No,Yes,2020,Not Placed,0.0,Unplaced,0,1,7,46.5,4.76,65.1,High,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Immediate,0
218,Male,20,BCA,Information Technology,6.48,3,1,1,1,6,0,Yes,Yes,2020,Not Placed,0.0,Unplaced,1,1,7,49.80000000000001,3.69,65.1,High,Clear backlogs early; Raise CGPA above 7.0; Improve DSA and coding practice,Immediate,0
7432,Female,20,BCA,Computer Science,7.83,3,1,0,1,4,0,Yes,No,2022,Not Placed,0.0,Unplaced,1,0,5,63.3,2.63,65.0,Medium,Clear backlogs early; Improve DSA and coding practice; Strengthen communication skills,Monitor,0
4223,Male,23,BCA,Information Technology,6.19,3,1,2,1,6,0,Yes,Yes,2023,Not Placed,0.0,Unplaced,1,1,7,46.900000000000006,4.38,64.9,Medium,Clear backlogs early; Raise CGPA above 7.0; Improve DSA and coding practice,Monitor,0
7508,Female,24,BSc,Data Science,8.02,3,0,0,2,5,0,No,No,2020,Not Placed,0.0,Unplaced,0,0,7,65.19999999999999,1.51,64.9,Medium,Clear backlogs early; Complete an internship; Improve DSA and coding practice,Monitor,0
5045,Female,24,BCA,Electrical Engineering,5.53,3,0,1,2,8,1,No,Yes,2023,Not Placed,0.0,Unplaced,0,1,10,40.300000000000004,3.71,64.8,Medium,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Monitor,0
5745,Female,22,BSc,Electrical Engineering,5.89,3,1,0,4,4,0,Yes,No,2021,Not Placed,0.0,Unplaced,1,0,8,43.9,3.06,64.7,Medium,Clear backlogs early; Raise CGPA above 7.0; Improve DSA and coding practice,Monitor,0
4190,Female,21,BSc,Artificial Intelligence,5.58,3,1,0,1,6,2,Yes,No,2020,Not Placed,0.0,Unplaced,1,0,7,40.8,4.93,64.5,Medium,Clear backlogs early; Raise CGPA above 7.0; Improve DSA and coding practice,Monitor,0
7733,Male,22,BE,Computer Science,5.58,3,0,4,2,6,1,No,Yes,2023,Not Placed,0.0,Unplaced,0,1,8,40.8,5.33,64.5,Medium,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Monitor,0
1715,Female,20,BE,Computer Science,5.94,3,1,3,1,6,0,Yes,Yes,2023,Not Placed,0.0,Unplaced,1,1,7,44.400000000000006,5.08,64.4,Medium,Clear backlogs early; Raise CGPA above 7.0; Improve DSA and coding practice,Monitor,0
4589,Female,24,BTech,Data Science,6.64,3,0,5,1,6,0,No,Yes,2023,Not Placed,0.0,Unplaced,0,1,7,51.39999999999999,4.96,64.2,Medium,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Monitor,0
4174,Male,22,BSc,Information Technology,7.8,3,0,3,1,5,0,No,Yes,2022,Not Placed,0.0,Unplaced,0,1,6,63.0,3.42,64.2,Medium,Clear backlogs early; Complete an internship; Improve DSA and coding practice,Monitor,0
2877,Female,21,BE,Electrical Engineering,5.81,2,0,1,2,5,0,No,Yes,2021,Not Placed,0.0,Unplaced,0,1,7,48.099999999999994,2.92,64.1,Medium,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Monitor,0
6979,Female,24,BCA,Mechanical Engineering,6.22,3,0,2,1,9,0,No,Yes,2019,Not Placed,0.0,Unplaced,0,1,10,47.199999999999996,3.59,63.7,Medium,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Monitor,0
6650,Female,22,BTech,Information Technology,7.23,3,0,0,1,7,1,No,No,2020,Not Placed,0.0,Unplaced,0,0,8,57.30000000000001,2.79,63.6,Medium,Clear backlogs early; Complete an internship; Improve DSA and coding practice,Monitor,0
4447,Female,24,BTech,Electrical Engineering,5.93,3,0,1,3,5,2,No,Yes,2019,Not Placed,0.0,Unplaced,0,1,8,44.3,4.27,63.4,Medium,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Monitor,0
8856,Female,23,BE,Computer Science,8.44,3,0,0,1,6,0,No,No,2024,Placed,6.71,TCS,0,0,7,69.39999999999999,1.68,63.4,Medium,Clear backlogs early; Complete an internship; Improve DSA and coding practice,Monitor,0
4864,Male,20,BTech,Information Technology,6.13,3,1,2,3,4,0,Yes,Yes,2022,Not Placed,0.0,Unplaced,1,1,7,46.3,4.35,63.2,Medium,Clear backlogs early; Raise CGPA above 7.0; Improve DSA and coding practice,Monitor,0
8128,Female,24,BCA,Information Technology,7.33,3,0,5,1,5,0,No,Yes,2022,Placed,5.35,Tech Mahindra,0,1,6,58.3,4.83,63.0,Medium,Clear backlogs early; Complete an internship; Improve DSA and coding practice,Monitor,0
3248,Male,23,BSc,Artificial Intelligence,7.66,3,0,4,1,5,0,No,Yes,2020,Not Placed,0.0,Unplaced,0,1,6,61.599999999999994,4.16,63.0,Medium,Clear backlogs early; Complete an internship; Improve DSA and coding practice,Monitor,0
9555,Male,20,BTech,Artificial Intelligence,7.84,3,0,2,1,6,0,No,Yes,2021,Not Placed,0.0,Unplaced,0,1,7,63.400000000000006,3.04,63.0,Medium,Clear backlogs early; Complete an internship; Improve DSA and coding practice,Monitor,0
11895,Male,21,BTech,Artificial Intelligence,8.16,3,0,1,1,6,0,No,Yes,2021,Not Placed,0.0,Unplaced,0,1,7,66.6,2.36,63.0,Medium,Clear backlogs early; Complete an internship; Improve DSA and coding practice,Monitor,0
7674,Female,23,BCA,Electrical Engineering,5.51,2,0,3,1,6,0,No,Yes,2024,Not Placed,0.0,Unplaced,0,1,7,45.099999999999994,4.4,62.9,Medium,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Monitor,0
3990,Female,21,BTech,Electrical Engineering,6.03,3,0,5,3,5,0,No,Yes,2024,Not Placed,0.0,Unplaced,0,1,8,45.300000000000004,5.11,62.8,Medium,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Monitor,0
7672,Female,20,BSc,Information Technology,5.72,3,0,5,4,3,1,No,Yes,2022,Not Placed,0.0,Unplaced,0,1,7,42.199999999999996,5.79,62.7,Medium,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Monitor,0
1095,Female,24,BE,Computer Science,6.24,3,0,2,2,8,0,No,Yes,2021,Not Placed,0.0,Unplaced,0,1,10,47.400000000000006,3.6,62.6,Medium,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Monitor,0
5863,Male,22,BSc,Mechanical Engineering,6.57,3,1,0,2,6,0,Yes,No,2019,Not Placed,0.0,Unplaced,1,0,8,50.7,3.33,62.6,Medium,Clear backlogs early; Raise CGPA above 7.0; Improve DSA and coding practice,Monitor,0
10153,Male,20,BE,Electrical Engineering,5.58,3,0,5,2,6,1,No,Yes,2019,Not Placed,0.0,Unplaced,0,1,8,40.8,6.13,62.5,Medium,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Monitor,0
10965,Female,21,BCA,Electrical Engineering,6.08,3,0,2,2,7,1,No,Yes,2021,Not Placed,0.0,Unplaced,0,1,9,45.8,4.33,62.5,Medium,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Monitor,0
8337,Female,22,BTech,Data Science,6.42,3,1,2,2,5,0,Yes,Yes,2021,Not Placed,0.0,Unplaced,1,1,7,49.2,4.47,62.5,Medium,Clear backlogs early; Raise CGPA above 7.0; Improve DSA and coding practice,Monitor,0
2590,Male,23,BCA,Artificial Intelligence,6.93,3,1,1,1,6,0,Yes,Yes,2022,Not Placed,0.0,Unplaced,1,1,7,54.3,3.87,62.4,Medium,Clear backlogs early; Raise CGPA above 7.0; Improve DSA and coding practice,Monitor,0
11089,Female,24,BCA,Electrical Engineering,7.27,3,2,0,2,2,0,Yes,No,2019,Not Placed,0.0,Unplaced,1,0,4,57.69999999999999,4.01,62.4,Medium,Clear backlogs early; Improve DSA and coding practice; Strengthen communication skills,Monitor,0
8252,Male,24,BTech,Mechanical Engineering,6.45,3,1,0,1,5,2,Yes,No,2020,Not Placed,0.0,Unplaced,1,0,6,49.5,4.88,62.3,Medium,Clear backlogs early; Raise CGPA above 7.0; Improve DSA and coding practice,Monitor,0
344,Female,23,BE,Data Science,6.96,3,0,5,1,6,0,No,Yes,2020,Not Placed,0.0,Unplaced,0,1,7,54.599999999999994,5.08,62.2,Medium,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Monitor,0
8788,Female,20,BCA,Electrical Engineering,7.96,3,0,2,1,6,0,No,Yes,2022,Not Placed,0.0,Unplaced,0,1,7,64.6,3.08,62.2,Medium,Clear backlogs early; Complete an internship; Improve DSA and coding practice,Monitor,0
2128,Male,20,BSc,Data Science,6.31,3,0,2,1,8,1,No,Yes,2022,Not Placed,0.0,Unplaced,0,1,9,48.099999999999994,4.42,62.1,Medium,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Monitor,0
3623,Female,22,BE,Artificial Intelligence,6.32,3,1,4,1,4,1,Yes,Yes,2023,Not Placed,0.0,Unplaced,1,1,5,48.2,6.43,62.1,Medium,Clear backlogs early; Raise CGPA above 7.0; Improve DSA and coding practice,Monitor,0
10275,Female,22,BCA,Electrical Engineering,9.15,3,0,0,1,5,0,No,No,2021,Placed,6.95,TCS,0,0,6,76.5,1.56,62.1,Medium,Clear backlogs early; Complete an internship; Improve DSA and coding practice,Monitor,0
6443,Female,22,BE,Artificial Intelligence,5.68,3,2,4,1,4,0,Yes,Yes,2023,Not Placed,0.0,Unplaced,1,1,5,41.8,6.97,61.9,Medium,Clear backlogs early; Raise CGPA above 7.0; Improve DSA and coding practice,Monitor,0
11653,Male,21,BCA,Electrical Engineering,6.51,3,0,5,1,7,0,No,Yes,2019,Not Placed,0.0,Unplaced,0,1,8,50.099999999999994,5.3,61.9,Medium,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Monitor,0
11959,Male,20,BSc,Computer Science,7.57,3,1,1,1,5,0,Yes,Yes,2019,Not Placed,0.0,Unplaced,1,1,6,60.7,3.73,61.6,Medium,Clear backlogs early; Improve DSA and coding practice; Strengthen communication skills,Monitor,0
11239,Female,21,BCA,Electrical Engineering,6.59,3,1,1,1,7,0,Yes,Yes,2019,Not Placed,0.0,Unplaced,1,1,8,50.900000000000006,4.14,61.5,Medium,Clear backlogs early; Raise CGPA above 7.0; Improve DSA and coding practice,Monitor,0
3478,Male,23,BSc,Computer Science,5.6,3,0,2,5,3,2,No,Yes,2022,Not Placed,0.0,Unplaced,0,1,8,41.0,4.94,61.4,Medium,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Monitor,0
1131,Female,20,BTech,Computer Science,6.3,3,0,0,3,7,1,No,No,2021,Not Placed,0.0,Unplaced,0,0,10,48.0,3.22,61.2,Medium,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Monitor,0
6016,Female,20,BCA,Electrical Engineering,6.63,3,2,0,1,5,0,Yes,No,2022,Not Placed,0.0,Unplaced,1,0,6,51.3,4.55,61.2,Medium,Clear backlogs early; Raise CGPA above 7.0; Improve DSA and coding practice,Monitor,0
4847,Male,24,BE,Information Technology,6.96,2,1,0,1,3,0,Yes,No,2023,Placed,5.72,TCS,1,0,4,59.599999999999994,3.38,61.2,Medium,Clear backlogs early; Raise CGPA above 7.0; Improve DSA and coding practice,Monitor,0
1589,Male,20,BE,Electrical Engineering,6.97,3,1,3,1,5,0,Yes,Yes,2023,Not Placed,0.0,Unplaced,1,1,6,54.7,5.09,61.2,Medium,Clear backlogs early; Raise CGPA above 7.0; Improve DSA and coding practice,Monitor,0
1475,Female,21,BE,Computer Science,5.65,3,2,3,1,5,0,Yes,Yes,2023,Not Placed,0.0,Unplaced,1,1,6,41.5,6.56,61.1,Medium,Clear backlogs early; Raise CGPA above 7.0; Improve DSA and coding practice,Monitor,0
7242,Male,22,BTech,Information Technology,7.81,3,0,3,1,6,0,No,Yes,2024,Not Placed,0.0,Unplaced,0,1,7,63.099999999999994,3.82,61.1,Medium,Clear backlogs early; Complete an internship; Improve DSA and coding practice,Monitor,0
8572,Female,22,BTech,Data Science,5.67,2,0,2,1,7,0,No,Yes,2022,Not Placed,0.0,Unplaced,0,1,8,46.7,4.07,61.0,Medium,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Monitor,0
9907,Female,22,BSc,Data Science,8.0,3,0,1,1,7,0,No,Yes,2019,Placed,5.17,Tech Mahindra,0,1,8,65.0,2.7,61.0,Medium,Clear backlogs early; Complete an internship; Improve DSA and coding practice,Monitor,0
11348,Male,24,BTech,Data Science,7.35,3,0,0,1,9,0,No,No,2020,Not Placed,0.0,Unplaced,0,0,10,58.5,2.44,60.9,Medium,Clear backlogs early; Complete an internship; Improve DSA and coding practice,Monitor,0
4167,Female,22,BSc,Electrical Engineering,6.87,3,0,0,2,6,2,No,No,2021,Not Placed,0.0,Unplaced,0,0,8,53.7,3.85,60.8,Medium,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Monitor,0
7810,Male,22,BTech,Data Science,7.54,3,0,5,1,4,1,No,Yes,2022,Not Placed,0.0,Unplaced,0,1,5,60.400000000000006,5.72,60.8,Medium,Clear backlogs early; Complete an internship; Improve DSA and coding practice,Monitor,0
5546,Female,23,BCA,Electrical Engineering,6.21,3,2,3,1,4,0,Yes,Yes,2020,Not Placed,0.0,Unplaced,1,1,5,47.1,6.38,60.7,Medium,Clear backlogs early; Raise CGPA above 7.0; Improve DSA and coding practice,Monitor,0
7916,Female,24,BSc,Electrical Engineering,6.07,3,0,3,3,7,0,No,Yes,2020,Not Placed,0.0,Unplaced,0,1,10,45.7,4.33,60.6,Medium,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Monitor,0
6195,Male,22,BSc,Mechanical Engineering,7.56,3,0,0,4,2,2,No,No,2021,Not Placed,0.0,Unplaced,0,0,6,60.599999999999994,3.32,60.6,Medium,Clear backlogs early; Complete an internship; Improve DSA and coding practice,Monitor,0
1861,Female,23,BE,Mechanical Engineering,5.91,3,0,1,3,6,2,No,Yes,2019,Not Placed,0.0,Unplaced,0,1,9,44.1,4.66,60.5,Medium,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Monitor,0
4286,Female,24,BTech,Data Science,6.42,2,0,0,1,7,0,No,No,2020,Not Placed,0.0,Unplaced,0,0,8,54.2,2.77,60.5,Medium,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Monitor,0
9390,Male,20,BTech,Mechanical Engineering,6.59,3,0,4,1,8,0,No,Yes,2024,Not Placed,0.0,Unplaced,0,1,9,50.900000000000006,4.94,60.5,Medium,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Monitor,0
8169,Female,22,BSc,Information Technology,7.08,3,0,1,3,5,1,No,Yes,2021,Placed,7.71,Infosys,0,1,8,55.8,3.53,60.5,Medium,Clear backlogs early; Complete an internship; Improve DSA and coding practice,Monitor,0
9985,Female,24,BCA,Electrical Engineering,7.43,3,0,2,3,5,0,No,Yes,2019,Not Placed,0.0,Unplaced,0,1,8,59.3,3.27,60.4,Medium,Clear backlogs early; Complete an internship; Improve DSA and coding practice,Monitor,0
4671,Female,21,BCA,Computer Science,5.79,3,0,2,4,7,0,No,Yes,2021,Not Placed,0.0,Unplaced,0,1,11,42.9,3.82,60.3,Medium,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Monitor,0
6771,Male,22,BCA,Data Science,6.29,3,2,0,1,6,0,Yes,No,2021,Not Placed,0.0,Unplaced,1,0,7,47.9,4.82,60.3,Medium,Clear backlogs early; Raise CGPA above 7.0; Improve DSA and coding practice,Monitor,0
2797,Male,21,BCA,Electrical Engineering,5.81,3,0,0,4,7,1,No,No,2019,Not Placed,0.0,Unplaced,0,0,11,43.099999999999994,3.42,60.1,Medium,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Monitor,0
6402,Male,21,BE,Electrical Engineering,5.82,3,1,1,3,5,1,Yes,Yes,2024,Not Placed,0.0,Unplaced,1,1,8,43.2,5.03,60.1,Medium,Clear backlogs early; Raise CGPA above 7.0; Improve DSA and coding practice,Monitor,0
4334,Male,23,BCA,Artificial Intelligence,6.16,2,0,1,1,7,0,No,Yes,2020,Not Placed,0.0,Unplaced,0,1,8,51.6,3.46,60.0,Medium,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Monitor,0
11530,Female,23,BE,Computer Science,5.52,2,0,0,2,5,2,No,No,2022,Not Placed,0.0,Unplaced,0,0,7,45.199999999999996,4.41,59.9,Medium,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Monitor,0
3482,Male,22,BE,Computer Science,5.55,3,1,1,5,3,1,Yes,Yes,2020,Not Placed,0.0,Unplaced,1,1,8,40.5,4.92,59.7,Medium,Clear backlogs early; Raise CGPA above 7.0; Improve DSA and coding practice,Monitor,0
4051,Female,22,BTech,Mechanical Engineering,6.21,3,1,0,3,5,1,Yes,No,2019,Not Placed,0.0,Unplaced,1,0,8,47.1,4.38,59.7,Medium,Clear backlogs early; Raise CGPA above 7.0; Improve DSA and coding practice,Monitor,0
7833,Male,21,BTech,Computer Science,6.24,3,1,3,1,7,0,Yes,Yes,2021,Not Placed,0.0,Unplaced,1,1,8,47.400000000000006,5.6,59.6,Medium,Clear backlogs early; Raise CGPA above 7.0; Improve DSA and coding practice,Monitor,0
6505,Male,23,BSc,Electrical Engineering,6.4,3,0,1,2,8,1,No,Yes,2019,Placed,5.38,Tech Mahindra,0,1,10,49.0,4.06,59.6,Medium,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Monitor,0
3177,Female,24,BSc,Information Technology,5.75,3,0,1,5,4,2,No,Yes,2021,Not Placed,0.0,Unplaced,0,1,9,42.5,4.6,59.5,Medium,Clear backlogs early; Raise CGPA above 7.0; Complete an internship,Monitor,0
5817,Female,22,BCA,Artificial Intelligence,5.95,3,2,3,1,5,0,Yes,Yes,2021,Not Placed,0.0,Unplaced,1,1,6,44.5,6.68,59.3,Medium,Clear backlogs early; Raise CGPA above 7.0; Improve DSA and coding practice,Monitor,0
